dblp_title,dblp_authors,dblp_pages,ieee_url
Malware Classification using Recurrence Plots and Deep Neural Network.,"Sara Sartoli, Yong Wei, Shane Hampton",901-906,https://doi.org/10.1109/ICMLA51294.2020.00147
An Efficient Pipeline for Pruning Convolutional Neural Networks.,"Chengcheng Li, Zi Wang, Hairong Qi",907-912,https://doi.org/10.1109/ICMLA51294.2020.00148
Improving the Donor Journey with Convolutional and Recurrent Neural Networks.,"Greg Lee, Ajith Kumar Veera Raghavan, Mark Hobbs",913-920,https://doi.org/10.1109/ICMLA51294.2020.00149
Real Time Data Science Decision Tree Approach to Approve Bank Loan from Lawyer's Perspective.,"P Rajesh, Mansoor Alam, Mansour Tahernezhadi, C. Vikram, P. N. Phaneendra",921-929,https://doi.org/10.1109/ICMLA51294.2020.00150
Product Recommendation System for Supermarket.,"Pranavi Satheesan, Prasanna S. Haddela, Jesuthasan Alosius",930-935,https://doi.org/10.1109/ICMLA51294.2020.00151
Valid Prediction Intervals for Course Grades with Conformal Prediction.,"Raphaël Morsomme, Evgueni N. Smirnov",936-941,https://doi.org/10.1109/ICMLA51294.2020.00152
A Hierarchical Bayesian IRT Analysis of Children's Risk Propensity.,"Chelsea Parlett-Pelleriti, Erik J. Linstead, Emily S. Sumner, Hoang Q. Nguyen, Ryan Stokes, Barbara W. Sarnecka, Susanne M. Jaeggi",942-947,https://doi.org/10.1109/ICMLA51294.2020.00153
A Survey of Biometric and Machine Learning Methods for Tracking Students' Attention and Engagement.,"Maria Villa, Mikhail I. Gofman, Sinjini Mitra, Ali Almadan, Anoop Krishnan, Ajita Rattani",948-955,https://doi.org/10.1109/ICMLA51294.2020.00154
Deep Learning Based Vehicle Detection From Aerial Images.,"Hüseyin Seçkin Dikbayir, Halil-Ibrahim Bülbül",956-960,https://doi.org/10.1109/ICMLA51294.2020.00155
What are they Reporting? Examining Student Cybersecurity Course Surveys through the Lens of Machine Learning.,"Denise Dragos, Suzanna Schmeelk",961-964,https://doi.org/10.1109/ICMLA51294.2020.00156
Hybrid Approaches for Augmentation of Translation Tables for Indian Languages.,"K. M. Kavitha, Vaishnavi Naik, Sahana Angadi, Sandra Satish, Suman Nayak",965-970,https://doi.org/10.1109/ICMLA51294.2020.00157
Effects of Number of Filters of Convolutional Layers on Speech Recognition Model Accuracy.,"James Mou, Jun Li",971-978,https://doi.org/10.1109/ICMLA51294.2020.00158
SummaTRIZ : Summarization Networks for Mining Patent Contradiction.,"Guillaume Guarino, Ahmed Samet, Amir Nafi, Denis Cavallucci",979-986,https://doi.org/10.1109/ICMLA51294.2020.00159
Towards Hybrid Model for Automatic Text Summarization.,"Ji Pei, Rim Hantach, Sarra Ben Abbès, Philippe Calvez",987-993,https://doi.org/10.1109/ICMLA51294.2020.00160
Subword Contextual Embeddings for Languages with Rich Morphology.,"Arda Akdemir, Tetsuo Shibuya, Tunga Güngör",994-1001,https://doi.org/10.1109/ICMLA51294.2020.00161
Main Content Extraction from Web Pages.,"Stanislas Morbieu, Guillaume Bruneval, Mohamed Lacarne, Mohamed Kone, François-Xavier Bois",1002-1005,https://doi.org/10.1109/ICMLA51294.2020.00162
An Investigation of Fine-tuning Pre-trained Model for MR-to-Text Generation.,"Ting Hu, Christoph Meinel",1006-1009,https://doi.org/10.1109/ICMLA51294.2020.00163
Toxic Comment Classification For French Online Comments.,"Nadira Boudjani, Yannis Haralambous, Inna Lyubareva",1010-1014,https://doi.org/10.1109/ICMLA51294.2020.00164
DeL-haTE: A Deep Learning Tunable Ensemble for Hate Speech Detection.,"Joshua Melton, Arunkumar Bagavathi, Siddharth Krishnan",1015-1022,https://doi.org/10.1109/ICMLA51294.2020.00165
Sequential Transfer Learning for Event Detection and Key Sentence Extraction.,"Anaïs Ollagnier, Hywel T. P. Williams",1023-1027,https://doi.org/10.1109/ICMLA51294.2020.00166
Understanding Fairness of Gender Classification Algorithms Across Gender-Race Groups.,"Anoop Krishnan, Ali Almadan, Ajita Rattani",1028-1035,https://doi.org/10.1109/ICMLA51294.2020.00167
BWCFace: Open-set Face Recognition using Body-worn Camera.,"Ali Almadan, Anoop Krishnan, Ajita Rattani",1036-1043,https://doi.org/10.1109/ICMLA51294.2020.00168
AARef: Exploiting Authorship Identifiers of Micro-Messages with Refinement Blocks.,"Sarp Aykent, Gerry V. Dozier",1044-1050,https://doi.org/10.1109/ICMLA51294.2020.00169
Evaluation of Local Binary Pattern Algorithm for User Authentication with Face Biometric.,"Tony Gwyn, Mustafa Atay, Kaushik Roy, Albert C. Esterline",1051-1058,https://doi.org/10.1109/ICMLA51294.2020.00170
Using Graph Embeddings and Machine Learning to Detect Cryptography Misuse in Source Code.,"Gustavo Eloi de Paula Rodrigues, Alexandre Melo Braga, Ricardo Dahab",1059-1066,https://doi.org/10.1109/ICMLA51294.2020.00171
Image Watermarking with Region of Interest Determination Using Deep Neural Networks.,"Mahnoosh Bagheri, Majid Mohrekesh, Nader Karimi, Shadrokh Samavi, Shahram Shirani, Pejman Khadivi",1067-1072,https://doi.org/10.1109/ICMLA51294.2020.00172
Towards Obfuscated Malware Detection for Low Powered IoT Devices.,"Daniel Park, Hannah Powers, Benji Prashker, Leland Liu, Bülent Yener",1073-1080,https://doi.org/10.1109/ICMLA51294.2020.00173
Chromatogram Alignment Algorithm Based on Deep Neural Network and an Application in Bio-aerosol Detection.,Yongyu Yang,1081-1086,https://doi.org/10.1109/ICMLA51294.2020.00174
Architecture for accurate polyp segmentation in motion-blurred colonoscopy images.,"Makoto Takamatsu, Makoto Hasegawa",1087-1093,https://doi.org/10.1109/ICMLA51294.2020.00175
A Novel ECG Signal Denoising Filter Selection Algorithm Based on Conventional Neural Networks.,"Chandresh Pravin, Varun Ojha",1094-1100,https://doi.org/10.1109/ICMLA51294.2020.00176
Al-based BMI Inference from Facial Images: An Application to Weight Monitoring.,"Hera Siddiqui, Ajita Rattani, Dakshina Ranjan Kisku, Tanner Dean",1101-1105,https://doi.org/10.1109/ICMLA51294.2020.00177
Application of deep learning to distinguish multiple deep brain stimulation parameter configurations for the treatment of Parkinson's disease.,"Robert LeMoyne, Timothy Mastroianni, Donald Whiting, Nestor D. Tomycz",1106-1111,https://doi.org/10.1109/ICMLA51294.2020.00178
Application of Face Recognition in Tracing COVID-19 Fever Patients and Close Contacts.,"Weijun Tan, Jingfeng Liu",1112-1116,https://doi.org/10.1109/ICMLA51294.2020.00179
Learning across label confidence distributions using Filtered Transfer Learning.,"Seyed Ali Madani Tonekaboni, Andrew E. Brereton, Zhaleh Safikhani, Andreas Windemuth, Benjamin Haibe-Kains, Stephen MacKinnon",1117-1123,https://doi.org/10.1109/ICMLA51294.2020.00180
Predicting missing and noisy links via neighbourhood preserving graph embeddings in a clinical knowlegebase.,"Budhaditya Saha, Vedant Mandloi, Shameek Ghosh",1124-1131,https://doi.org/10.1109/ICMLA51294.2020.00181
On The Application of Domain Adversarial Neural Network to Fault Detection and Isolation in Power Plants.,"Hossein Shahabadi Farahani, Alireza Fatehi, Mahdi Aliyari Shoorehdeli",1132-1138,https://doi.org/10.1109/ICMLA51294.2020.00182
Fiji-FIN: A Fault Injection Framework on Quantized Neural Network Inference Accelerator.,"Navid Khoshavi, Connor Broyles, Yu Bi, Arman Roohi",1139-1144,https://doi.org/10.1109/ICMLA51294.2020.00183
Adaptive Data-driven Approach for the Remaining Useful Life Estimation when Few Historical Degradation Sequences are Available.,"Koceila Abid, Moamar Sayed-Mouchaweh, Laurence Cornez",1145-1152,https://doi.org/10.1109/ICMLA51294.2020.00184
FedAR: Activity and Resource-Aware Federated Learning Model for Distributed Mobile Robots.,"Ahmed Imteaj, M. Hadi Amini",1153-1160,https://doi.org/10.1109/ICMLA51294.2020.00185
Connecting Distributed Pockets of Energy Flexibility through Federated Computations: Limitations and Possibilities.,"Javad Mohammadi, Jesse Thornburg",1161-1166,https://doi.org/10.1109/ICMLA51294.2020.00186
Robust Incremental Logistic Regression for Detection of Anomaly Using Big Data.,"Topon Kumar Paul, Ken Ueno",1167-1173,https://doi.org/10.1109/ICMLA51294.2020.00187
Multi-UCAV Air Combat in Short-Range Maneuver Strategy Generation using Reinforcement Learning and Curriculum Learning.,"Weiren Kong, Deyun Zhou, Kai Zhang, Zhen Yang, Wansha Yang",1174-1181,https://doi.org/10.1109/ICMLA51294.2020.00238
Geographical feature classification from text using (active) convolutional neural networks.,"Liping Yang, Alan M. MacEachren, Prasenjit Mitra",1182-1198,https://doi.org/10.1109/ICMLA51294.2020.00188
"Exploratory data analysis of the visitor's arrivals to Chichen-Itza's archaeological site, a case study.","Edgar Avalos-Gauna, León Felipe Palafox-Novack, Dayanara Carrasco-Yépez",1199-1204,https://doi.org/10.1109/ICMLA51294.2020.00189
Geographic Boosting Tree: Modeling Non-Stationary Spatial Data.,"Liangdong Deng, Malek Adjouadi, Naphtali Rishe",1205-1210,https://doi.org/10.1109/ICMLA51294.2020.00190
Use of Machine Learning in Exploring Spatial (In)Justices1.,"Debzani Deb, Russell M. Smith",1211-1217,https://doi.org/10.1109/ICMLA51294.2020.00191
Know-Linking: An approach to generate shared knowledge between several actors in companies application in aerospace manufacturer.,"Elamin Abderrahim, Nada Matta, Hassan Atifi",1218-1223,https://doi.org/10.1109/ICMLA51294.2020.00192
An embedded deep learning system for augmented reality in firefighting applications.,"Manish Bhattarai, Aura Rose Jensen-Curtis, Manel Martínez-Ramón",1224-1230,https://doi.org/10.1109/ICMLA51294.2020.00193
HPT-RL: Calibrating Power System Models based on Hierarchical Parameter Tuning and Reinforcement Learning.,"Lei Lin, Wencheng Wu, Zhongkai Shangguan, Safwan Wshah, Ramadan Elmoudi, Beilei Xu",1231-1237,https://doi.org/10.1109/ICMLA51294.2020.00194
Multi-view Data Mining Approach for Behaviour Analysis of Smart Control Valve.,"Amirmohammad Eghbalian, Shahrooz Abghari, Veselka Boeva, Farhad Basiri",1238-1245,https://doi.org/10.1109/ICMLA51294.2020.00195
New ANN results on a major benchmark for the prediction of RUL of Lithium Ion batteries in electric vehicles.,"Inès Jorge, Ahmed Samet, Tedjani Mesbahi, Romuald Boné",1246-1253,https://doi.org/10.1109/ICMLA51294.2020.00196
Technical Indicators and Prediction for Energy Market Forecasting.,"Catherine McHugh, Sonya Coleman, Dermot Kerr",1254-1259,https://doi.org/10.1109/ICMLA51294.2020.00197
A Real Time Stock tendency prognostication using Quantopian.,"P Rajesh, Mansoor Alam, Mansour Tahernezhadi, K. Vamshikrishna Reddy, K. Chandrakala",1260-1267,https://doi.org/10.1109/ICMLA51294.2020.00198
Reducing Artifacts in GAN Audio Synthesis.,"Nathan Thiem, Marko Orescanin, James Bret Michael",1268-1275,https://doi.org/10.1109/ICMLA51294.2020.00199
A Curated Set of Labeled Code Tutorial Images for Deep Learning.,"Adrienne Bergh, Paul Harnack, Abigail Atchison, Jordan Ott, Elia Eiroa-Lledo, Erik Linstead",1276-1280,https://doi.org/10.1109/ICMLA51294.2020.00200
Defending Against Localized Adversarial Attacks on Edge-Deployed Monocular Depth Estimators.,"Nanda H. Krishna, Praveen Kumar R, Rishi Vardhan K, Vineeth Vijayaraghavan",1281-1288,https://doi.org/10.1109/ICMLA51294.2020.00201
Adversarial Patch Defense for Optical Flow Networks in Video Action Recognition.,"Adithya Prem Anand, Gokul H, Harish Srinivasan, Pranav Vijay, Vineeth Vijayaraghavan",1289-1296,https://doi.org/10.1109/ICMLA51294.2020.00202
GRaDL: A Framework for Animal Genome Sequence Classification with Graph Representations and Deep Learning.,"Sai Narayanan, Akhilesh Ramachandran, Sathyanarayanan N. Aakur, Arunkumar Bagavathi",1297-1303,https://doi.org/10.1109/ICMLA51294.2020.00203
Towards adversarial robustness with 01 loss neural networks.,"Yunzhe Xue, Meiyan Xie, Usman Roshan",1304-1309,https://doi.org/10.1109/ICMLA51294.2020.00204
Enhancing ontology-based home Care Services platform using Bayesian networks.,"Abdelweheb Gueddes, Mohamed Ali Mahjoub",1310-1316,https://doi.org/10.1109/ICMLA51294.2020.00205
Gene Subset Selection for Transfer Learning using Bilevel Particle Swarm Optimization.,"Hassen Dhrif, Verónica Bolón-Canedo, Stefan Wuchty",1317-1323,https://doi.org/10.1109/ICMLA51294.2020.00206
A Study of Deep Learning for Predicting Freeze of Gait in Patients with Parkinson's Disease.,"Alexander M. Yuan, Shayok Chakraborty",1324-1331,https://doi.org/10.1109/ICMLA51294.2020.00207
Using internet search trends to forecast short term drug overdose deaths: A case study on Connecticut.,"Sumit Mukherjee, Nicholas Becker, William B. Weeks, Juan M. Lavista Ferres",1332-1339,https://doi.org/10.1109/ICMLA51294.2020.00208
Pandemic spread prediction and healthcare preparedness through financial and mobility data.,"Nidhi Mulay, Vikas Bishnoi, Himanshi Charotia, Siddhartha Asthana, Gaurav Dhama, Ankur Arora",1340-1347,https://doi.org/10.1109/ICMLA51294.2020.00209
Depression Detection Using Atlas from fMRI Images.,"Marzieh Mousavian, Jianhua Chen, Steven G. Greening",1348-1353,https://doi.org/10.1109/ICMLA51294.2020.00210
COVID-19 Screening Using Residual Attention Network an Artificial Intelligence Approach.,"Vishal Sharma, Curtis E. Dyreson",1354-1361,https://doi.org/10.1109/ICMLA51294.2020.00211
Automated Semantic Segmentation of Cardiac Magnetic Resonance Images with Deep Learning.,"Sujata Sinha, Thomas S. Denney, Yang Zhou, Jingyi Zheng",1362-1368,https://doi.org/10.1109/ICMLA51294.2020.00212
End-to-End Deep Learning for Reliable Cardiac Activity Monitoring using Seismocardiograms.,"Prithvi Suresh, Naveen Narayanan, Chakilam Vijay Pranav, Vineeth Vijayaraghavan",1369-1375,https://doi.org/10.1109/ICMLA51294.2020.00213
Two-stage and dual-decoder convolutional U-Net ensembles for reliable vessel and plaque segmentation in carotid ultrasound images.,"Meiyan Xie, Yunzhu Li, Yunzhe Xue, Lauren Huntress, William Beckerman, Saum A. Rahimi, Justin W. Ady, Usman W. Roshan",1376-1381,https://doi.org/10.1109/ICMLA51294.2020.00214
ARC-Net: Activity Recognition Through Capsules.,"Hamed Damirchi, Rooholla Khorrambakht, Hamid D. Taghirad",1382-1388,https://doi.org/10.1109/ICMLA51294.2020.00215
A Power-aware Approach for Smart Health Monitoring and Decision Support.,"Carmela Comito, Deborah Falcone, Agostino Forestiero",1389-1395,https://doi.org/10.1109/ICMLA51294.2020.00216
Multiple Instance Learning approaches for Melanoma and Dysplastic Nevi images classification.,"Eugenio Vocaturo, Ester Zumpano",1396-1401,https://doi.org/10.1109/ICMLA51294.2020.00217
Improving Explainability of Image Classification in Scenarios with Class Overlap: Application to COVID-19 and Pneumonia.,"Edward Verenich, Alvaro Velasquez, Nazar Khan, Faraz Hussain",1402-1409,https://doi.org/10.1109/ICMLA51294.2020.00218
"Multi-class segmentation of Diabetic Retinopathy lesions: effects of metrics, improvements and loss.",Pedro Furtado,1410-1417,https://doi.org/10.1109/ICMLA51294.2020.00219
Car Detection Based Algorithm For Automatic Parking Space Detection.,"Raj Kirtibhai Patel, Praveen Meduri",1418-1423,https://doi.org/10.1109/ICMLA51294.2020.00220
Enabling Rewards for Reinforcement Learning in Laser Beam Welding processes through Deep Learning.,"Markus Schmitz, Florian Pinsker, Alexander Ruhri, Beibei Jiang, Georgij Safronov",1424-1431,https://doi.org/10.1109/ICMLA51294.2020.00221
A New Clustering-Based Technique for the Acceleration of Deep Convolutional Networks.,"Erion-Vasilis M. Pikoulis, Christos Mavrokefalidis, Aris S. Lalos",1432-1439,https://doi.org/10.1109/ICMLA51294.2020.00222
SAFL: A Self-Attention Scene Text Recognizer with Focal Loss.,"Bao Hieu Tran, Thanh Le-Cong, Huu Manh Nguyen, Duc Anh Le, Thanh-Hung Nguyen, Phi Le Nguyen",1440-1445,https://doi.org/10.1109/ICMLA51294.2020.00223
Enhancing Piano Transcription by Dilated Convolution.,"Xian Wang, Lingqiao Liu, Qinfeng Shi",1446-1453,https://doi.org/10.1109/ICMLA51294.2020.00224
Radar Trajectory-based Air-Writing Recognition using Temporal Convolutional Network.,"Muhammad Arsalan, Avik Santra, Vadim Issakov",1454-1459,https://doi.org/10.1109/ICMLA51294.2020.00225
On the transferability of adversarial examples between convex and 01 loss models.,"Yunzhe Xue, Meiyan Xie, Usman Roshan",1460-1467,https://doi.org/10.1109/ICMLA51294.2020.00226
TSV Extrusion Morphology Classification Using Deep Convolutional Neural Networks.,"Brendan Reidy, Golareh Jalilvand, Tengfei Jiang, Ramtin Zand",1468-1474,https://doi.org/10.1109/ICMLA51294.2020.00227
A Comparative Study of Deep Learning-based RGB-depth Fusion Methods for Object Detection.,"Fahimeh Farahnakian, Jukka Heikkonen",1475-1482,https://doi.org/10.1109/ICMLA51294.2020.00228
CONVJSSP: Convolutional Learning for Job-Shop Scheduling Problems.,"Tianze Wang, Amir Hossein Payberah, Vladimir Vlassov",1483-1490,https://doi.org/10.1109/ICMLA51294.2020.00229
MarioDAgger: A Time and Space Efficient Autonomous Driver.,"Farzad Kamrani, Andreas Elers, Mika Cohen, Amir Hossein Payberah",1491-1498,https://doi.org/10.1109/ICMLA51294.2020.00230
Effective Big Data Caching through Reinforcement Learning.,"Mirco Tracolli, Marco Baioletti, Valentina Poggioni, Daniele Spiga",1499-1504,https://doi.org/10.1109/ICMLA51294.2020.00231
The Importance of Local Labels Distribution and Dominance for Node Classification in Graph Neural Networks.,"Asmaa Rassil, Hiba Chougrad, Hamid Zouaki",1505-1511,https://doi.org/10.1109/ICMLA51294.2020.00232
DAT-RNN: Trajectory Prediction with Diverse Attention.,"Zheng Li, Xiaocong Du, Yu Cao",1512-1518,https://doi.org/10.1109/ICMLA51294.2020.00233
Quantifying Challenges in the Application of Graph Representation Learning.,"Antonia Gogoglou, C. Bayan Bruss, Brian Nguyen, Reza Sarshogh, Keegan E. Hines",1519-1526,https://doi.org/10.1109/ICMLA51294.2020.00234
"Road Accident Proneness Indicator Based On Time, Weather And Location Specificity Using Graph Neural Networks.","Srikanth Chandar, Anish Reddy, Muvazima Mansoor, Suresh Jamadagni",1527-1533,https://doi.org/10.1109/ICMLA51294.2020.00235
Graph Neural Networks for Model Recommendation using Time Series Data.,"Aleksandr Pletnev, Rodrigo Rivera-Castro, Evgeny Burnaev",1534-1541,https://doi.org/10.1109/ICMLA51294.2020.00236
